location,price,total_area,net_area,price_per_sqm,rooms_count,halls_count,bathrooms_count,balconies_count,floor_raw,floor_num,total_floors,building_age_clean,age_category,legal_status,house_condition,kitchen_type,heating_type,has_elevator,has_parking,in_complex,is_furnished,facade_directions,advertiser_type,near_mosque,near_hospital,near_park,near_university,near_school,near_market,near_transport
عكرمة الجديدة,100000,220,220,454.55,2,1,2,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,بدون موقف,داخل مجمع,مفروش,جنوب,وسيط,0,1,0,0,0,0,0
الميماس,100000,180,180,555.56,5,1,2,2,2,2,6,12.5,Medium,طابو أخضر/نظامي,مؤجر,مفتوح (أمريكي),مركزي,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,"جنوب,شرق,شمال,غرب",المالك,0,0,0,0,0,0,0
ضاحية الوليد,110000,300,112,366.67,2,1,1,1,أرضي,0,3,12.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شرق,شمال",المالك,0,0,0,0,0,0,1
عكرمة الجديدة,110000,140,140,785.71,3,1,2,1,2,2,3,10.0,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,غرب",وسيط,1,1,0,1,0,0,0
الوعر,110000,220,220,500.0,4,1,2,1,أرضي,0,3,12.5,Medium,طابو أخضر/نظامي,مؤجر,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,خارج مجمع,غير مفروش,"شمال,غرب",المالك,0,0,0,0,1,0,0
عكرمة الجديدة,115000,150,140,766.67,3,1,2,1,1,1,3,4.0,New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,1,1,0,1,0,0,1
المحطة,117000,180,180,650.0,2,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,0,0,0,0,0,0,0
الأرمن,120000,120,120,1000.0,3,1,2,1,2,2,4,4.0,New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,0,0,0,0,1,0,0
الوعر,120000,260,220,461.54,5,1,3,1,2,2,4,12.5,Medium,كاتب عدل/وكالة,فارغ,مغلق,مركزي,بدون مصعد,يوجد موقف,خارج مجمع,غير مفروش,"جنوب,شرق,غرب",المالك,0,0,0,0,0,0,0
عكرمة الجديدة,125000,200,200,625.0,3,1,3,1,1,1,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,امريكي مفتوح,داخل مجمع,مفروش,"جنوب,شرق",وسيط,0,1,0,0,0,0,0
الغوطة,130000,160,150,812.5,4,1,2,3,2,2,3,45.0,Old,كاتب عدل/وكالة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,خارج مجمع,غير مفروش,غرب,المالك,0,0,0,0,0,0,0
كرم الشامي,135000,200,200,675.0,3,1,2,1,5,5,5,12.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,مركزي,يوجد مصعد,يوجد موقف,داخل مجمع,مفروش,شرق,وسيط,1,0,0,0,0,0,1
